Name of Institute	Branch	Delhi	Outside Delhi
JIMS Engineering Management Technical Campus	Computer Science & Engineering	Min Rank - 157481 Max Rank - 542996	Min Rank - 96812 Max Rank - 147855
JIMS Engineering Management Technical Campus	Computer Science & Technology	Min Rank - 321611 Max Rank - 557282	Min Rank - 138336 Max Rank - 151329
JIMS Engineering Management Technical Campus	CSE- AIML	Min Rank - 196006 Max Rank - 410241	Min Rank - 69617 Max Rank - 120679
Maharaja Agrasen Institute of Technology	Computer Science & Engineering (Shift I)	Min Rank - 9420 Max Rank - 70889	Min Rank - 9203 Max Rank - 42413
Maharaja Agrasen Institute of Technology	Computer Science & Engineering (Shift II)	Min Rank - 54792 Max Rank - 74720	Min Rank - 42737 Max Rank - 44427
Maharaja Agrasen Institute of Technology	Computer Science & Technology	Min Rank - 20002 Max Rank - 86922	Min Rank - 11799 Max Rank - 49000
Maharaja Agrasen Institute of Technology	CSE - AI	Min Rank - 31355 Max Rank - 75797	Min Rank - 43093 Max Rank - 45333
Maharaja Agrasen Institute of Technology	CSE- AIML	Min Rank - 18973 Max Rank - 70312	Min Rank - 21436 Max Rank - 44176
Maharaja Agrasen Institute of Technology	CSE- DS	Min Rank - 63592 Max Rank - 78986	Min Rank - 45508 Max Rank - 47032
Maharaja Agrasen Institute of Technology	Electrical & Electronics Engineering	Min Rank - 42786 Max Rank - 166235	Min Rank - 55242 Max Rank - 63746
Maharaja Agrasen Institute of Technology	Electronics & Comm.- Advance Comm. Technology	Min Rank - 70740 Max Rank - 138808	Min Rank - 59218 Max Rank - 62917
Maharaja Agrasen Institute of Technology	Electronics & Communication Engineering	Min Rank - 56282 Max Rank - 113602	Min Rank - 38632 Max Rank - 52199
Maharaja Agrasen Institute of Technology	Electronics Engg.- VLSI Design & Technology	Min Rank - 55276 Max Rank - 152818	Min Rank - 53709 Max Rank - 62004
Maharaja Agrasen Institute of Technology	Information Technology	Min Rank - 56621 Max Rank - 107346	Min Rank - 47244 Max Rank - 53494
Maharaja Agrasen Institute of Technology	Mechanical Engineering	Min Rank - 6419 Max Rank - 193717	Min Rank - 63914 Max Rank - 80268
Maharaja Surajmal Institute Technology	Computer Science & Engineering (Shift I)	Min Rank - 6832 Max Rank - 96135	Min Rank - 18685 Max Rank - 54501
Maharaja Surajmal Institute Technology	Computer Science & Engineering (Shift II)	Min Rank - 96175 Max Rank - 103385	Min Rank - 38142 Max Rank - 55151
Maharaja Surajmal Institute Technology	Electrical & Electronics Engineering	Min Rank - 40772 Max Rank - 180485	Min Rank - 68809 Max Rank - 72549
Maharaja Surajmal Institute Technology	Electronics & Communication Engineering (Shift I)	Min Rank - 100021 Max Rank - 159917	Min Rank - 55218 Max Rank - 64883
Maharaja Surajmal Institute Technology	Electronics & Communication Engineering (Shift II)	Min Rank - 67043 Max Rank - 166670	Min Rank - 65188 Max Rank - 67464
Maharaja Surajmal Institute Technology	Information Technology (Shift I)	Min Rank - 103745 Max Rank - 118049	Min Rank - 54566 Max Rank - 58187
Maharaja Surajmal Institute Technology	Information Technology (Shift II)	Min Rank - 106834 Max Rank - 122124	Min Rank - 58234 Max Rank - 59115
Shri Balwant Institute of Technology	Computer Science & Engineering	Min Rank - 178068 Max Rank - 509044	Min Rank - 91367 Max Rank - 129906
Shri Balwant Institute of Technology	Electrical & Electronics Engineering	Min Rank - 254089 Max Rank - 405046	Min Rank - 147862 Max Rank - 147862
Shri Balwant Institute of Technology	Electronics & Communication Engineering	Min Rank - 379519 Max Rank - 491507	Min Rank - 128979 Max Rank - 128979
Shri Balwant Institute of Technology	Information Technology	Min Rank - 307507 Max Rank - 453661	Min Rank - 141723 Max Rank - 144300
Shri Balwant Institute of Technology	Mechanical Engineering	Min Rank - 479537 Max Rank - 605889	Min Rank - 153990 Max Rank - 156358
Tribhuvan College	B.Tech (AI&ML)	Min Rank - 202988 Max Rank - 603476	Min Rank - 86394 Max Rank - 160800
Trinity Institute of Innovations in Professional Studies	Computer Science & Engineering	Min Rank - 39520 Max Rank - 496320	Min Rank - 110835 Max Rank - 145804
Trinity Institute of Innovations in Professional Studies	Computer Science & Technology	Min Rank - 177202 Max Rank - 571806	Min Rank - 135754 Max Rank - 156524
Trinity Institute of Innovations in Professional Studies	Information Technology	Min Rank - 117860 Max Rank - 464282	Min Rank - 100476 Max Rank - 100476
University School of Automation & Robotics	B.Tech./M. Tech. (DD) (AI-DS)	Min Rank - 45547 Max Rank - 99067	Min Rank - 39259 Max Rank - 57284
University School of Automation & Robotics	B.Tech./M. Tech. (DD) (AI-ML)	Min Rank - 54882 Max Rank - 99476	Min Rank - 44316 Max Rank - 56280
University School of Automation & Robotics	B.Tech./M. Tech. (DD) (AR)	Min Rank - 86822 Max Rank - 134028	Min Rank - 58852 Max Rank - 70630
University School of Automation & Robotics	B.Tech./M. Tech. (DD) (IIOT)	Min Rank - 101426 Max Rank - 152135	Min Rank - 58762 Max Rank - 75443
University School of Chemical Technology	B. Tech. (Energy)	Min Rank - 76756 Max Rank - 245925	Min Rank - 77926 Max Rank - 97688
University School of Chemical Technology	B. Tech./M. Tech. (Dual Degree in Chemical Engineering	Min Rank - 63956 Max Rank - 238689	Min Rank - 65467 Max Rank - 95931
University School of Information & Communication Technology 	B. Tech./M. Tech.(DD) (CSE)	Min Rank - 3782 Max Rank - 38638	Min Rank - 4145 Max Rank - 27680
University School of Information & Communication Technology	B. Tech./M. Tech.(DD) (ECE)	Min Rank - 44500 Max Rank - 62058	Min Rank - 9692 Max Rank - 45204
University School of Information & Communication Technology	B. Tech./M. Tech.(DD) (IT)	Min Rank - 42403 Max Rank - 48858	Min Rank - 33471 Max Rank - 37840
University School of Information & Communication Technology	B. Tech/M. Tech.(DD) (CSE-AI)	Min Rank - 17966 Max Rank - 34780	Min Rank - 17266 Max Rank - 30204
University School of Information & Communication Technology	B. Tech/M. Tech.(DD) (CSE-DS)	Min Rank - 23186 Max Rank - 42356	Min Rank - 9691 Max Rank - 33555
Vivekananda Institute of Professional Studies	Artificial Intelligence & Data Science	Min Rank - 86912 Max Rank - 230547	Min Rank - 72657 Max Rank - 99003
Vivekananda Institute of Professional Studies	Artificial Intelligence & Machine Learning	Min Rank - 148838 Max Rank - 248432	Min Rank - 89796 Max Rank - 105777
Vivekananda Institute of Professional Studies	B. Tech. (Computer Science & Applied Mathematics)	Min Rank - 87888 Max Rank - 256802	Min Rank - 83767 Max Rank - 108951
Vivekananda Institute of Professional Studies	Computer Science & Engineering	Min Rank - 79209 Max Rank - 194876	Min Rank - 59358 Max Rank - 81247
Vivekananda Institute of Professional Studies	CSE (Cyber Security)	Min Rank - 127345 Max Rank - 228899	Min Rank - 71243 Max Rank - 92205
Vivekananda Institute of Professional Studies	CSE (Cyber Security)	Min Rank - 127345 Max Rank - 228899	Min Rank - 71243 Max Rank - 92205
Vivekananda Institute of Professional Studies	Electronics Engg.- VLSI Design & Technology	Min Rank - 201392 Max Rank - 314488	Min Rank - 98880 Max Rank - 118800
Vivekananda Institute of Professional Studies	Industrial Internet of Things	Min Rank - 248909 Max Rank - 297225	Min Rank - 108336 Max Rank - 118517
