Name of Institute	Branch	Delhi	Outside Delhi
Echelon Institute of Technology	Computer Science & Engineering	Min Rank - 4003989 Max Rank - 1414970	Min Rank - 145154 Max Rank - 258621
Echelon Institute of Technology	CSE (Cyber Security)	Min Rank - 389458 Max Rank - 1464383	Min Rank - 260143 Max Rank - 270750
Echelon Institute of Technology	CSE- AIML	Min Rank - 361521 Max Rank - 1459433	Min Rank - 195943 Max Rank - 254706
Echelon Institute of Technology	CSE- DS	Min Rank - 729233 Max Rank - 1117467	Min Rank - 167153 Max Rank - 270363
Echelon Institute of Technology	Electronics & Communication Engineering	Min Rank - 492448 Max Rank - 1277450	Min Rank - 221582 Max Rank - 248727
Echelon Institute of Technology	Mechanical Engineering	Min Rank - 677961 Max Rank - 1460192	Min Rank - 231226 Max Rank - 264180
Echelon Institute of Technology	Mechatronics	Min Rank - 713083 Max Rank - 766408	Min Rank - 243598 Max Rank - 282930
Fairfield Institute of Management & Technology	Artificial Intelligence & Machine Learning	Min Rank - 327658 Max Rank - 670434	Min Rank - 251993 Max Rank - 254241
Fairfield Institute of Management & Technology	Computer Science & Engineering	Min Rank - 245254 Max Rank - 624880	Min Rank - 227603 Max Rank - 250247
Fairfield Institute of Management & Technology	Electronics and Communication Engineering	Min Rank - 513242 Max Rank - 983938	Min Rank - 261886 Max Rank - 266935
Fairfield Institute of Management & Technology	Information Technology	Min Rank - 414498 Max Rank - 828630	Min Rank - 255072 Max Rank - 260954
Greater Noida Institute of Technology	Artificial Intelligence & Machine Learning	Min Rank - 282136 Max Rank - 1312632	Min Rank - 129898 Max Rank - 218092
Greater Noida Institute of Technology	Computer Science & Engineering	Min Rank - 287956 Max Rank - 1133110	Min Rank - 93805 Max Rank - 217947
Guru Teg Bahadur Institute of Technology	Computer Science & Engineering (Shift I)	Min Rank - 169080 Max Rank - 223597	Min Rank - 87486 Max Rank - 94662
Guru Teg Bahadur Institute of Technology	Computer Science & Engineering (Shift II)	Min Rank - 141880 Max Rank - 230520	Min Rank - 94926 Max Rank - 96509
Guru Teg Bahadur Institute of Technology	CSE- AIML	Min Rank - 162240 Max Rank - 213360	Min Rank - 97055 Max Rank - 98499
Guru Teg Bahadur Institute of Technology	CSE- DS	Min Rank - 186295 Max Rank - 237938	Min Rank - 95094 Max Rank - 101473
Guru Teg Bahadur Institute of Technology	Electronics & Communication Engineering	Min Rank - 266666 Max Rank - 358743	Min Rank - 101427 Max Rank - 115721
Guru Teg Bahadur Institute of Technology	Information Technology (Shift I)	Min Rank - 223096 Max Rank - 271460	Min Rank - 99005 Max Rank - 105637
Guru Teg Bahadur Institute of Technology	Information Technology (Shift II)	Min Rank - 271478 Max Rank - 286748	Min Rank - 107009 Max Rank - 109158
