Name of Institute	Branch	Delhi	Outside Delhi
Bhagwan Parshuram Institute of Technology	Computer Science & Engineering	Min Rank - 99288 Max Rank - 160820	Min Rank - 58557 Max Rank - 73888
Bhagwan Parshuram Institute of Technology	CSE- DS	Min Rank - 117508 Max Rank - 165249 	Min Rank - 66358 Max Rank - 75325
Bhagwan Parshuram Institute of Technology	Electrical & Electronics Engineering	Min Rank - 186424 Max Rank - 270739	Min Rank - 90393 Max Rank - 105615
Bhagwan Parshuram Institute of Technology	Electronics & Communication Engineering	Min Rank - 187881 Max Rank - 232328	Min Rank - 77633 Max Rank - 92960
Bhagwan Parshuram Institute of Technology	Information Technology	Min Rank - 163015 Max Rank - 186009	Min Rank - 71440 Max Rank - 80204
Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Min Rank - 81021 Max Rank - 145948	Min Rank - 61843 Max Rank - 72835
Bharati Vidyapeeths College of Engineering	CSE- AIML	Min Rank - 101096 Max Rank - 150825	Min Rank - 58504 Max Rank - 74419
Bharati Vidyapeeths College of Engineering	Electrical & Electronics Engineering	Min Rank - 188160 Max Rank - 253124	Min Rank - 83873 Max Rank - 104428
Bharati Vidyapeeths College of Engineering	Electronics & Communication Engineering	Min Rank - 157579 Max Rank - 214297	Min Rank - 82130 Max Rank - 92207
Bharati Vidyapeeths College of Engineering	Information Technology	Min Rank - 102406 Max Rank - 167082	Min Rank - 74186 Max Rank - 78873
Bharati Vidyapeeths College of Engineering	Instrumentation & Control Engineering (Shift I)	Min Rank - 237510 Max Rank - 298923 	Min Rank - 96627 Max Rank - 106399
Delhi Institute of Sciences & Technology 	Computer Science & Engineering	Min Rank - 179136 Max Rank - 494632	Min Rank - 102388 Max Rank - 142957
Delhi Technical Campus 	Artificial Intelligence & Data Science	Min Rank - 228882 Max Rank - 638835	Min Rank - 116890 Max Rank - 155955
Delhi Technical Campus	Artificial Intelligence & Machine Learning	Min Rank - 277800 Max Rank - 666541	Min Rank - 134222 Max Rank - 183048
Delhi Technical Campus	B. Tech. (Computer Science & Applied Mathematics)	Min Rank - 234296 Max Rank - 670117	Min Rank - 154745 Max Rank - 187523
Delhi Technical Campus	Computer Science & Engineering	Min Rank - 188705 Max Rank - 594632	Min Rank - 93196 Max Rank - 168502
Delhi Technical Campus	Computer Science & Technology	Min Rank - 369269 Max Rank - 659150	Min Rank - 145964 Max Rank - 180762
Delhi Technical Campus	CSE (Cyber Security)	Min Rank - 105064 Max Rank - 653063	Min Rank - 152663 Max Rank - 184799
Delhi Technical Campus	CSE- AIML	Min Rank - 143210 Max Rank - 635568	Min Rank - 126693 Max Rank - 179915
Delhi Technical Campus	CSE- DS	Min Rank - 373972 Max Rank - 655936	Min Rank - 147426 Max Rank - 185299
Dr. Akhilesh Das Gupta Institute of Professional Studies	Artificial Intelligence & Data Science	Min Rank - 94157 Max Rank - 305844	Min Rank - 81665 Max Rank - 123682
Dr. Akhilesh Das Gupta Institute of Professional Studies	Artificial Intelligence & Data Science (Shift II)	Min Rank - 218804 Max Rank - 319780	Min Rank - 103468 Max Rank - 126877
Dr. Akhilesh Das Gupta Institute of Professional Studies	Artificial Intelligence & Machine Learning	Min Rank - 182068 Max Rank - 299799	Min Rank - 111807 Max Rank - 125853
Dr. Akhilesh Das Gupta Institute of Professional Studies	Artificial Intelligence & Machine Learning (Shift II)	Min Rank - 265508 Max Rank -320018	Min Rank - 127212 Max Rank - 131125
Dr. Akhilesh Das Gupta Institute of Professional Studies	B. Tech. (Computer Science)	Min Rank - 146832 Max Rank - 271677	Min Rank - 87239 Max Rank - 104749
Dr. Akhilesh Das Gupta Institute of Professional Studies	B.Tech (CS) II- Shift	Min Rank - 248808 Max Rank - 291416	Min Rank - 107275 Max Rank - 113784
Dr. Akhilesh Das Gupta Institute of Professional Studies 	Civil Engineering	Min Rank - 60684 Max Rank - 407454	Min Rank - 126448 Max Rank - 162392
Dr. Akhilesh Das Gupta Institute of Professional Studies 	Computer Science & Engineering (Shift I)	Min Rank - 11161 Max Rank - 248953	Min Rank - 75740 Max Rank - 104685
Dr. Akhilesh Das Gupta Institute of Professional Studies 	Computer Science & Engineering (Shift II)	Min Rank - 209967 Max Rank - 256421 	Min Rank - 105449 Max Rank - 106683
Dr. Akhilesh Das Gupta Institute of Professional Studies 	Computer Science & Technology	Min Rank - 210514 Max Rank - 272388	Min Rank - 93816 Max Rank - 112421
Dr. Akhilesh Das Gupta Institute of Professional Studies	Computer Science and Technology (II Shift)	Min Rank - 247360 Max Rank - 304322 	Min Rank - 115123 Max Rank - 120170
Dr. Akhilesh Das Gupta Institute of Professional Studies 	Electronics & Communication Engineering (Shift I)	Min Rank - 253877 Max Rank - 335103	Min Rank - 99215 Max Rank - 136324
